dimension,judge,model,beta,theta,optimizer_success,n_comparisons
completeness,google/gemini-2.5-flash-preview-05-20,checkpoint-2500-inputs-refs-preds-1000-examples,-0.5555764165802044,0.5737414517780233,True,100
completeness,anthropic/claude-3-5-haiku-20241022,GPT4o-mini,13.828193465598883,1012763.6768091028,True,100
completeness,anthropic/claude-3-5-haiku-20241022,checkpoint-1000-inputs-refs-preds-1000-examples,-3.397671196444591,0.03345108031741752,True,100
completeness,anthropic/claude-3-5-haiku-20241022,checkpoint-1500-inputs-refs-preds-1000-examples,-3.578567883316289,0.027915648107385373,True,100
completeness,anthropic/claude-3-5-haiku-20241022,checkpoint-2000-inputs-refs-preds-1000-examples,-3.5811244228114028,0.027844371799636256,True,100
completeness,anthropic/claude-3-5-haiku-20241022,checkpoint-2500-inputs-refs-preds-1000-examples,-3.2708299630266104,0.03797489623245515,True,100
completeness,mistral-medium-latest,GPT4o-mini,2.655890021002204,14.237652231422857,True,100
completeness,mistral-medium-latest,checkpoint-1000-inputs-refs-preds-1000-examples,-0.4249047971865556,0.6538320288155766,True,100
completeness,mistral-medium-latest,checkpoint-1500-inputs-refs-preds-1000-examples,-1.0104667874699276,0.36404900638931165,True,100
completeness,mistral-medium-latest,checkpoint-2000-inputs-refs-preds-1000-examples,-0.5175989747783416,0.5959497218553476,True,100
completeness,mistral-medium-latest,checkpoint-2500-inputs-refs-preds-1000-examples,-0.7029194615673791,0.49513765628591533,True,100
newsworthiness,gpt-3.5-turbo,GPT4o-mini,1.0730312314107622,2.9242300972189263,True,100
newsworthiness,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-0.0696345427188676,0.9327346322887059,True,100
newsworthiness,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,-0.7622920685646164,0.466595731016896,True,100
newsworthiness,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,0.17015605537205958,1.1854898389437232,True,100
newsworthiness,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,-0.41126067549933754,0.6628141296748707,True,100
newsworthiness,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,1.0626750279903396,2.894102448779673,True,100
newsworthiness,google/gemini-2.5-flash-preview-05-20,checkpoint-1000-inputs-refs-preds-1000-examples,-0.1621511229588335,0.8503126930598511,True,100
newsworthiness,google/gemini-2.5-flash-preview-05-20,checkpoint-1500-inputs-refs-preds-1000-examples,-0.7207580204039004,0.4863834276256715,True,100
newsworthiness,google/gemini-2.5-flash-preview-05-20,checkpoint-2000-inputs-refs-preds-1000-examples,0.007667503727840197,1.0076969743083248,True,100
newsworthiness,google/gemini-2.5-flash-preview-05-20,checkpoint-2500-inputs-refs-preds-1000-examples,-0.18743338835544598,0.8290843430126336,True,100
newsworthiness,anthropic/claude-3-5-haiku-20241022,GPT4o-mini,1.538335984821028,4.656834776393426,True,100
newsworthiness,anthropic/claude-3-5-haiku-20241022,checkpoint-1000-inputs-refs-preds-1000-examples,0.0831986233593649,1.0867576425664716,True,100
newsworthiness,anthropic/claude-3-5-haiku-20241022,checkpoint-1500-inputs-refs-preds-1000-examples,-0.759389177795877,0.46795217530946837,True,100
newsworthiness,anthropic/claude-3-5-haiku-20241022,checkpoint-2000-inputs-refs-preds-1000-examples,-0.4020611201165756,0.6689398587587031,True,100
newsworthiness,anthropic/claude-3-5-haiku-20241022,checkpoint-2500-inputs-refs-preds-1000-examples,-0.46008431026794083,0.6312304240572155,True,100
newsworthiness,mistral-medium-latest,GPT4o-mini,1.050355614899022,2.8586675220904505,True,100
newsworthiness,mistral-medium-latest,checkpoint-1000-inputs-refs-preds-1000-examples,0.05394240661218275,1.0554238149715398,True,100
newsworthiness,mistral-medium-latest,checkpoint-1500-inputs-refs-preds-1000-examples,-0.5596999850451558,0.5713804608198537,True,100
newsworthiness,mistral-medium-latest,checkpoint-2000-inputs-refs-preds-1000-examples,-0.17771399764388596,0.8371818252269164,True,100
newsworthiness,mistral-medium-latest,checkpoint-2500-inputs-refs-preds-1000-examples,-0.36688403882216347,0.6928899887251314,True,100
hygiene,gpt-3.5-turbo,GPT4o-mini,15.296998128873685,4399485.362034054,True,100
hygiene,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-4.246629472255094,0.014312393020367431,True,100
hygiene,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,-4.402781234016938,0.012243241187925963,True,100
hygiene,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,-3.3416383892674766,0.035378945726487525,True,100
hygiene,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,-3.305949033334173,0.036664399582623415,True,100
hygiene,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,2.065366614114849,7.88818928914405,True,100
hygiene,google/gemini-2.5-flash-preview-05-20,checkpoint-1000-inputs-refs-preds-1000-examples,-0.7956708631171323,0.45127838732369396,True,100
hygiene,google/gemini-2.5-flash-preview-05-20,checkpoint-1500-inputs-refs-preds-1000-examples,-0.36141983878011663,0.6966864410721566,True,100
hygiene,google/gemini-2.5-flash-preview-05-20,checkpoint-2000-inputs-refs-preds-1000-examples,-0.5674714801557186,0.5669571903371339,True,100
hygiene,google/gemini-2.5-flash-preview-05-20,checkpoint-2500-inputs-refs-preds-1000-examples,-0.34080443206188127,0.7111979821297256,True,100
hygiene,anthropic/claude-3-5-haiku-20241022,GPT4o-mini,13.23900162788608,561856.4267860913,True,100
hygiene,anthropic/claude-3-5-haiku-20241022,checkpoint-1000-inputs-refs-preds-1000-examples,-3.7730452782832913,0.02298197012028017,True,100
hygiene,anthropic/claude-3-5-haiku-20241022,checkpoint-1500-inputs-refs-preds-1000-examples,-2.921333388709929,0.05386182065435988,True,100
hygiene,anthropic/claude-3-5-haiku-20241022,checkpoint-2000-inputs-refs-preds-1000-examples,-3.601945995774372,0.0272706023014231,True,100
hygiene,anthropic/claude-3-5-haiku-20241022,checkpoint-2500-inputs-refs-preds-1000-examples,-2.942676965118487,0.05272439827930843,True,100
hygiene,mistral-medium-latest,GPT4o-mini,13.644797258531835,843063.2455371903,True,100
hygiene,mistral-medium-latest,checkpoint-1000-inputs-refs-preds-1000-examples,-3.7979673763717976,0.022416289460028566,True,100
hygiene,mistral-medium-latest,checkpoint-1500-inputs-refs-preds-1000-examples,-3.372361444457564,0.03430852393506823,True,100
hygiene,mistral-medium-latest,checkpoint-2000-inputs-refs-preds-1000-examples,-3.5765653872770216,0.027971605090273386,True,100
hygiene,mistral-medium-latest,checkpoint-2500-inputs-refs-preds-1000-examples,-2.8979030504254624,0.055138722032880665,True,100
